Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,FRPTIMWBH,FRPTIM,FRSTIMWBH,FRSTIM,FRTIMWBH,RWTIM,RWTIMWBH,MTOC
Support,Solved,Low,Mail,2023-05-04 20:10:00,2023-05-30 09:43:00,2023-05-05 10:34:00,2023-05-05 10:34:00,2023-05-30 09:43:00.000000000,614.0,4,6,9,157.0,5105.0,2225.0,36814.0,18094.0,13206.0,6162.0,Is my treatment covered (IMTC)
Reimbursement Claims,Closed,Low,Mail,2023-05-08 15:24:00,2023-06-11 17:37:00,2023-05-12 13:16:00,2023-05-08 15:38:00,2023-05-22 17:03:00.000000000,338.0,Offered,6,7,1598.0,5632.0,2752.0,20259.0,10179.0,15538.0,7844.0,Not Fill
Support,Solved,Low,Mail,2023-05-08 16:36:00,2023-06-13 12:42:00,2023-05-08 17:26:00,2023-05-08 17:26:00,2023-06-13 12:42:00.000000000,860.0,4,6,8,72.0,2671.0,1231.0,51606.0,25686.0,6843.0,3243.0,Claims
Support,Solved,Low,Internal Communication,2023-05-26 22:57:00,2023-06-12 18:11:00,2023-05-27 11:46:00,2023-05-27 11:46:00,2023-06-12 18:11:00.000000000,403.0,Offered,6,1,181.0,783.0,181.0,24193.0,12071.0,1189.0,587.0,Not Fill
Support,Solved,Low,Mail,2023-05-28 18:10:00,2023-06-11 17:12:00,2023-06-08 14:29:00,2023-05-28 18:27:00,2023-06-11 17:12:00.000000000,335.0,4,6,12,17.0,61.0,61.0,20102.0,10022.0,12167.0,5821.0,Claims
Support,Solved,Low,Mail,2023-05-29 20:55:00,2023-06-14 09:20:00,2023-05-30 09:35:00,2023-05-30 09:35:00,2023-06-14 09:20:00.000000000,372.0,1,6,7,99.0,819.0,99.0,22345.0,10825.0,3782.0,936.0,Health ID
Reimbursement Claims,Closed,Low,OutBound,2023-04-06 12:21:00,2023-05-04 15:01:00,2023-04-06 12:21:00,2023-04-06 12:21:00,2023-05-04 15:01:00.000000000,675.0,Offered,5,4,26.0,7602.0,4002.0,40480.0,20320.0,12935.0,6546.0,Not Fill
Support,Closed,Low,Mail,2023-04-09 17:56:00,2023-05-10 06:10:00,2023-04-10 10:13:00,2023-04-10 10:13:00,2023-04-11 09:18:00.000000000,39.0,2,5,3,290.0,1253.0,533.0,2362.0,922.0,1544.0,638.0,Others
Reimbursement Claims,Closed,Low,Mail,2023-04-10 14:54:00,2023-06-07 07:36:00,2023-04-10 16:56:00,2023-04-10 16:56:00,2023-05-11 10:57:00.000000000,740.0,Offered,5,5,237.0,237.0,237.0,44403.0,22083.0,24980.0,12740.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-10 15:43:00,2023-05-10 06:10:00,2023-04-10 16:31:00,2023-04-10 16:31:00,2023-04-11 11:19:00.000000000,20.0,Offered,5,3,51.0,51.0,51.0,1175.0,455.0,921.0,201.0,Not Fill
Support,Closed,Low,Mail,2023-04-11 15:51:00,2023-06-07 07:36:00,2023-04-11 17:10:00,2023-04-11 17:10:00,2023-05-13 12:33:00.000000000,765.0,4,5,8,125.0,2727.0,1287.0,45882.0,22842.0,13456.0,6948.0,Claims
Support,Open,Low,Mail,2023-04-13 13:00:00,2023-06-18 00:54:00,2023-05-22 17:52:00,2023-04-13 15:05:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,12,157.0,8461.0,4141.0,12323.522002085505,6201.2645116440735,53181.0,26259.0,Others
Support,Open,Low,OutBound,2023-04-13 15:05:00,2023-04-20 17:17:00,2023-04-13 15:05:00,2023-04-13 15:05:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,7,552.0,1803.0,1074.0,12323.522002085505,6201.2645116440735,3744.0,2065.0,Claims
Reimbursement Claims,Closed,Low,OutBound,2023-04-14 13:26:00,2023-06-07 07:35:00,2023-04-14 13:26:00,2023-04-14 13:26:00,2023-05-11 15:21:00.000000000,650.0,Offered,5,6,2614.0,0.0,0.0,38995.0,19555.0,27701.0,13982.0,Not Fill
Reimbursement Claims,Solved,Low,OutBound,2023-04-14 18:10:00,2023-06-09 20:16:00,2023-04-14 18:10:00,2023-04-14 18:10:00,2023-06-09 20:16:00.000000000,1346.0,Offered,5,7,2330.0,4570.0,2330.0,80766.0,40446.0,41201.0,20327.0,Not Fill
Support,Solved,Low,Mail,2023-04-15 14:49:00,2023-06-07 21:13:00,2023-04-15 15:50:00,2023-04-15 15:50:00,2023-06-07 21:13:00.000000000,1278.0,Offered,5,9,103.0,7570.0,3970.0,76704.0,38531.0,24805.0,13927.0,Health ID
Endorsements,Solved,Low,Mail,2023-04-18 19:04:00,2023-05-30 12:02:00,2023-04-27 12:41:00,2023-04-19 12:29:00,2023-05-30 12:02:00.000000000,1001.0,Offered,5,22,698.0,1418.0,698.0,60058.0,29818.0,9203.0,4163.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-04-20 12:38:00,2023-06-12 14:37:00,2023-04-20 12:49:00,2023-04-20 12:49:00,2023-06-12 14:37:00.000000000,1274.0,Offered,5,13,348.0,348.0,348.0,76439.0,38279.0,56267.0,28188.0,Not Fill
Onboardings,Closed,Low,Closed Ticket,2023-04-20 12:51:00,2023-06-07 06:45:00,2023-04-25 17:42:00,2023-04-20 20:11:00,2023-05-12 11:54:00.000000000,527.0,Offered,5,1,829.0,1549.0,829.0,31623.0,15783.0,4729.0,2569.0,Not Fill
Support,Closed,Low,Mail,2023-04-22 17:57:00,2023-05-31 06:09:00,2023-04-23 12:31:00,2023-04-23 12:31:00,2023-05-02 17:59:00.000000000,240.0,4,5,3,402.0,1122.0,402.0,14403.0,7203.0,4576.0,2424.0,Claims
Support,Hold,Low,Mail,2023-04-24 09:52:00,2023-06-18 12:04:00,2023-04-24 10:20:00,2023-04-24 10:20:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,24,101.0,5853.0,2973.0,12323.522002085505,6201.2645116440735,25681.0,12721.0,Is my treatment covered (IMTC)
Reimbursement Claims,Open,Low,Mail,2023-04-27 11:45:00,2023-06-19 06:46:00,2023-05-29 14:10:00,2023-04-27 12:26:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6,299.0,299.0,299.0,12323.522002085505,6201.2645116440735,32534.0,16828.0,Not Fill
Onboardings,Pending,Low,Mail,2023-04-28 12:07:00,2023-06-02 14:03:00,2023-05-02 12:20:00,2023-05-02 12:20:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,22,2893.0,37429.0,18709.0,12323.522002085505,6201.2645116440735,10307.0,5267.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-04-28 18:45:00,2023-06-03 18:39:00,2023-05-01 18:14:00,2023-05-01 18:14:00,2023-06-02 20:40:00.000000000,842.0,Offered,5,6,3147.0,6747.0,3147.0,50516.0,25316.0,19348.0,9988.0,Not Fill
Endorsements,Solved,Low,Mail,2023-04-29 07:00:00,2023-06-06 17:28:00,2023-05-12 12:40:00,2023-05-12 12:40:00,2023-06-06 17:28:00.000000000,922.0,Offered,5,7,12444.0,37653.0,18813.0,55348.0,27868.0,25467.0,13108.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-29 11:52:00,2023-06-16 12:36:00,2023-04-29 13:11:00,2023-04-29 13:11:00,2023-05-27 12:10:00.000000000,672.0,Offered,5,5,114.0,114.0,114.0,40338.0,20178.0,1463.0,743.0,Claims
Support,Closed,Low,Mail,2023-05-02 15:26:00,2023-06-14 10:33:00,2023-05-02 16:00:00,2023-05-02 16:00:00,2023-05-25 09:30:00.000000000,546.0,Offered,5,9,67.0,67.0,67.0,32764.0,16204.0,14529.0,6610.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-05-03 03:39:00,2023-06-15 10:53:00,2023-05-03 13:39:00,2023-05-03 13:39:00,2023-06-15 10:53:00.000000000,1039.0,Offered,5,6,340.0,661.0,340.0,62354.0,31073.0,41295.0,20117.0,Not Fill
Support,Closed,Low,Mail,2023-05-04 12:04:00,2023-06-08 09:33:00,2023-05-04 13:00:00,2023-05-04 13:00:00,2023-05-19 09:25:00.000000000,357.0,Offered,5,5,69.0,69.0,69.0,21441.0,10641.0,1077.0,357.0,Claims
Support,Closed,Low,Internal Communication,2023-05-04 12:24:00,2023-06-04 06:02:00,2023-05-04 12:53:00,2023-05-04 12:53:00,2023-05-06 12:38:00.000000000,48.0,Offered,5,7,48.0,48.0,48.0,2894.0,1454.0,135.0,135.0,Health ID
Reimbursement Claims,Open,Low,Mail,2023-05-08 18:22:00,2023-06-17 12:17:00,2023-05-29 14:09:00,2023-05-08 18:34:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,11,32.0,5530.0,2650.0,12323.522002085505,6201.2645116440735,30240.0,14506.0,Not Fill
Reimbursement Claims,Hold,Low,Mail,2023-05-09 09:55:00,2023-06-12 18:51:00,2023-05-16 10:14:00,2023-05-09 13:00:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,18,1146.0,30474.0,15354.0,12323.522002085505,6201.2645116440735,48426.0,24486.0,Not Fill
Reimbursement Claims,Open,Low,Mail,2023-05-09 10:48:00,2023-06-16 18:58:00,2023-05-09 13:12:00,2023-05-09 10:51:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,9,66.0,3215.0,1775.0,12323.522002085505,6201.2645116440735,40867.0,20707.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-05-11 21:34:00,2023-06-07 18:24:00,2023-05-12 10:44:00,2023-05-12 10:44:00,2023-06-07 18:24:00.000000000,645.0,Offered,5,14,353.0,19679.0,9633.0,38691.0,19285.0,36179.0,18033.0,Not Fill
Support,Solved,Low,Mail,2023-05-16 16:58:00,2023-05-31 06:09:00,2023-05-16 17:04:00,2023-05-16 17:04:00,2023-05-31 06:09:00.000000000,349.0,3,5,8,19.0,1717.0,962.0,20951.0,10322.0,8696.0,4512.0,Is my treatment covered (IMTC)
Endorsements,Open,Low,Mail,2023-05-19 17:50:00,2023-06-17 12:28:00,2023-05-22 12:56:00,2023-05-22 12:56:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,7,4631.0,18728.0,9368.0,12323.522002085505,6201.2645116440735,15300.0,7380.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-05-21 10:43:00,2023-06-15 23:31:00,2023-05-22 10:07:00,2023-05-22 10:07:00,2023-06-15 23:31:00.000000000,613.0,Offered,5,5,1336.0,2198.0,1336.0,36768.0,18616.0,12439.0,6922.0,Not Fill
Support,Solved,Low,Mail,2023-05-23 10:30:00,2023-06-18 10:49:00,2023-05-23 10:41:00,2023-05-23 10:41:00,2023-06-18 10:49:00.000000000,624.0,Offered,5,5,102.0,313.0,313.0,37458.0,18738.0,10121.0,5081.0,Claims
Reimbursement Claims,Hold,Low,Mail,2023-05-24 16:53:00,2023-06-13 22:19:00,2023-05-25 10:10:00,2023-05-25 10:10:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,8,671.0,7283.0,3683.0,12323.522002085505,6201.2645116440735,24705.0,12386.0,Not Fill
Support,Solved,Low,Mail,2023-05-29 12:04:00,2023-06-06 17:40:00,2023-05-29 12:34:00,2023-05-29 12:34:00,2023-06-06 17:40:00.000000000,198.0,2,5,7,37.0,10117.0,5077.0,11857.0,6097.0,10500.0,5412.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-02 21:26:00,2023-06-08 00:33:00,2023-04-03 15:12:00,2023-04-03 15:12:00,2023-05-18 23:56:00.000000000,1107.0,Offered,4,6,720.0,28208.0,13834.0,66390.0,33120.0,53527.0,26578.0,Not Fill
Support,Closed,Low,Mail,2023-04-03 12:40:00,2023-05-27 06:08:00,2023-04-03 12:43:00,2023-04-03 12:43:00,2023-04-28 21:07:00.000000000,608.0,Offered,4,3,18.0,18.0,18.0,36507.0,18499.0,1594.0,866.0,Claims
Reimbursement Claims,Closed,Low,Mail,2023-04-03 15:16:00,2023-06-07 07:36:00,2023-05-12 18:15:00,2023-04-03 15:23:00,2023-05-13 12:51:00.000000000,958.0,Offered,4,11,25.0,284.0,284.0,57455.0,28655.0,14914.0,7714.0,Not Fill
Support,Closed,Low,Mail,2023-04-04 15:47:00,2023-05-06 06:04:00,2023-04-04 16:05:00,2023-04-04 16:05:00,2023-04-07 15:17:00.000000000,72.0,2,4,5,28.0,1099.0,379.0,4290.0,2130.0,2261.0,821.0,Claims
Support,Closed,Low,Closed Ticket,2023-04-04 16:05:00,2023-06-02 06:09:00,2023-04-04 17:28:00,2023-04-04 17:28:00,2023-05-04 13:49:00.000000000,718.0,Offered,4,6,92.0,318.0,294.0,43064.0,21464.0,3419.0,1761.0,Claims
Support,Closed,Low,Mail,2023-04-05 13:22:00,2023-06-06 06:12:00,2023-04-05 14:35:00,2023-04-05 14:35:00,2023-05-08 12:54:00.000000000,792.0,4,4,4,1358.0,7459.0,3859.0,47491.0,23731.0,11453.0,5689.0,Claims
Support,Hold,Low,Closed Ticket,2023-04-05 15:08:00,2023-04-17 19:09:00,2023-04-05 17:45:00,2023-04-05 17:45:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,4,6,251.0,251.0,251.0,12323.522002085505,6201.2645116440735,13678.0,7198.0,Claims
Support,Closed,Low,Mail,2023-04-05 15:23:00,2023-05-10 06:11:00,2023-04-06 10:22:00,2023-04-05 16:39:00,2023-04-11 12:22:00.000000000,141.0,4,4,3,429.0,1149.0,429.0,8458.0,4138.0,1311.0,591.0,Is my treatment covered (IMTC)
Reimbursement Claims,Solved,Low,Mail,2023-04-06 15:39:00,2023-06-09 10:42:00,2023-04-06 15:47:00,2023-04-06 15:47:00,2023-06-09 10:42:00.000000000,1531.0,Offered,4,13,198.0,198.0,198.0,91863.0,45783.0,88579.0,44351.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-06 16:51:00,2023-06-18 16:35:00,2023-04-06 18:24:00,2023-04-06 18:24:00,2023-05-29 15:56:00.000000000,1271.0,Offered,4,12,106.0,106.0,106.0,76265.0,38105.0,57419.0,28601.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-06 20:26:00,2023-05-25 06:10:00,2023-04-07 13:13:00,2023-04-07 13:13:00,2023-04-26 14:58:00.000000000,475.0,Offered,4,3,515.0,1235.0,515.0,28472.0,14072.0,10083.0,5043.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-08 08:22:00,2023-06-07 07:36:00,2023-04-09 22:26:00,2023-04-09 22:26:00,2023-05-12 10:36:00.000000000,818.0,Offered,4,15,2160.0,3767.0,2160.0,49094.0,24576.0,42051.0,21073.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-10 21:06:00,2023-06-15 19:40:00,2023-04-11 09:54:00,2023-04-11 09:54:00,2023-05-26 19:25:00.000000000,1102.0,Offered,4,3,1180.0,10851.0,5097.0,66140.0,33026.0,59722.0,29308.0,Not Fill
Reimbursement Claims,Hold,Low,Mail,2023-04-11 16:56:00,2023-04-20 16:31:00,2023-04-12 10:20:00,2023-04-12 10:20:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,4,5,702.0,1422.0,702.0,12323.522002085505,6201.2645116440735,7140.0,3540.0,Not Fill
Reimbursement Claims,Hold,Low,Mail,2023-04-11 18:25:00,2023-06-16 09:20:00,2023-04-12 10:56:00,2023-04-12 10:56:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,4,16,590.0,1310.0,590.0,12323.522002085505,6201.2645116440735,90030.0,44670.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-11 19:47:00,2023-06-09 21:37:00,2023-04-12 11:08:00,2023-04-12 11:08:00,2023-05-20 20:31:00.000000000,937.0,Offered,4,8,793.0,1717.0,793.0,56205.0,27045.0,36520.0,18690.0,Not Fill
Support,Closed,Low,Mail,2023-04-12 07:44:00,2023-05-23 06:11:00,2023-04-12 08:48:00,2023-04-12 08:48:00,2023-04-24 08:36:00.000000000,289.0,4,4,4,87.0,1772.0,977.0,17332.0,8640.0,12274.0,5743.0,Claims
Support,Solved,Low,Mail,2023-04-12 09:58:00,2023-06-07 14:21:00,2023-06-07 14:21:00,2023-04-12 10:44:00,2023-05-30 14:13:00.000000000,1156.0,Offered,4,17,57.0,3045.0,1605.0,69376.0,34816.0,60305.0,29885.0,Is my treatment covered (IMTC)
Reimbursement Claims,Closed,Low,Mail,2023-04-12 12:19:00,2023-06-07 07:35:00,2023-04-12 16:01:00,2023-04-12 16:01:00,2023-05-16 18:06:00.000000000,822.0,Offered,4,5,1472.0,2912.0,1472.0,49307.0,24827.0,22066.0,11265.0,Not Fill
Support,Closed,Low,Mail,2023-04-12 14:40:00,2023-05-31 06:09:00,2023-04-28 14:19:00,2023-04-12 15:45:00,2023-05-02 13:24:00.000000000,479.0,Offered,4,7,103.0,1392.0,672.0,28724.0,14324.0,10017.0,4977.0,Not Applicable
Reimbursement Claims,Closed,Low,Mail,2023-04-12 23:02:00,2023-06-14 01:34:00,2023-04-13 11:01:00,2023-04-13 11:01:00,2023-05-25 01:04:00.000000000,1010.0,Offered,4,8,148.0,1052.0,454.0,60602.0,30240.0,59310.0,29490.0,Not Fill
Support,Solved,Low,Mail,2023-04-13 19:01:00,2023-06-02 19:15:00,2023-04-14 08:21:00,2023-04-14 08:21:00,2023-06-02 19:15:00.000000000,1200.0,4,4,7,5766.0,10105.0,5065.0,72013.0,36013.0,70769.0,35489.0,Not Fill
Support,Closed,Low,Mail,2023-04-14 10:43:00,2023-05-16 06:09:00,2023-04-14 10:55:00,2023-04-14 10:55:00,2023-04-17 12:55:00.000000000,74.0,4,4,5,29.0,82.0,82.0,4452.0,2292.0,4282.0,2122.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-15 09:09:00,2023-05-23 06:10:00,2023-04-15 11:22:00,2023-04-15 11:22:00,2023-04-24 14:57:00.000000000,222.0,Offered,4,6,168.0,458.0,458.0,13307.0,6827.0,961.0,957.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-04-17 09:58:00,2023-06-15 10:52:00,2023-04-17 15:01:00,2023-04-17 15:01:00,2023-06-15 10:52:00.000000000,1417.0,Offered,4,10,1049.0,1769.0,1049.0,85014.0,42534.0,65805.0,32986.0,Not Fill
Endorsements,Closed,Low,Mail,2023-04-18 15:54:00,2023-06-13 21:36:00,2023-04-19 12:01:00,2023-04-19 12:01:00,2023-05-24 20:57:00.000000000,869.0,Offered,4,8,26.0,9902.0,4862.0,52143.0,26223.0,19665.0,9715.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-18 17:30:00,2023-06-07 19:39:00,2023-04-18 17:41:00,2023-04-18 17:41:00,2023-05-18 19:00:00.000000000,722.0,Offered,4,5,1150.0,2590.0,1150.0,43290.0,21690.0,6821.0,3221.0,Not Fill
Support,Closed,Low,Mail,2023-04-18 17:39:00,2023-06-07 06:45:00,2023-04-18 18:19:00,2023-04-18 18:19:00,2023-05-10 07:57:00.000000000,518.0,4,4,8,85.0,960.0,240.0,31098.0,15321.0,12970.0,5884.0,Is my treatment covered (IMTC)
