Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,FRPTIMWBH,FRPTIM,FRSTIMWBH,FRSTIM,FRTIMWBH,RWTIM,RWTIMWBH,MTOC
Support,Closed,Low,Mail,2023-04-02 17:16:00,2023-06-07 07:36:00,2023-05-12 14:25:00,2023-04-02 20:28:00,2023-05-16 14:30:00.000000000,514.5,Offered,7,6.0,202.0,1155.0,435.0,30808.5,15526.0,22868.0,11348.0,Claims
Reimbursement Claims,Closed,Low,Mail,2023-04-03 19:47:00,2023-06-06 06:12:00,2023-04-04 10:20:00,2023-04-04 10:20:00,2023-05-08 14:19:00.000000000,514.5,Offered,7,6.0,792.0,4184.0,2024.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Closed,Low,Mail,2023-04-05 19:04:00,2023-06-13 19:38:00,2023-04-18 15:37:00,2023-04-05 19:20:00,2023-05-24 18:43:00.000000000,514.5,1,7,6.0,57.0,5843.0,2963.0,30808.5,15526.0,28951.5,14738.5,Claims
Support,Closed,Low,Mail,2023-04-08 20:49:00,2023-05-27 06:08:00,2023-04-09 10:28:00,2023-04-09 10:28:00,2023-04-28 15:33:00.000000000,475.0,4,7,6.0,150.0,6743.0,3143.0,28484.0,14084.0,13436.0,6047.0,Health ID
Support,Closed,Low,Mail,2023-04-13 17:38:00,2023-06-18 10:34:00,2023-04-13 18:12:00,2023-04-13 18:12:00,2023-05-29 10:09:00.000000000,514.5,4,7,6.0,61.0,61.0,61.0,30808.5,15526.0,1020.0,300.0,Claims
Reimbursement Claims,Solved,Low,Mail,2023-04-14 19:49:00,2023-06-06 01:59:00,2023-05-25 14:38:00,2023-04-14 20:21:00,2023-06-06 01:59:00.000000000,514.5,Offered,7,6.0,71.0,10070.0,5030.0,30808.5,15526.0,17109.0,8889.0,Not Fill
Support,Closed,Low,Mail,2023-04-16 09:24:00,2023-05-31 06:09:00,2023-04-16 11:56:00,2023-04-16 11:56:00,2023-05-02 12:11:00.000000000,387.0,Offered,7,5.0,177.0,177.0,177.0,23207.0,11687.0,2569.0,1296.0,Claims
Reimbursement Claims,Closed,Low,Mail,2023-04-28 10:06:00,2023-06-15 16:37:00,2023-05-09 16:55:00,2023-04-28 10:36:00,2023-05-26 15:58:00.000000000,514.5,Offered,7,6.0,263.0,16248.0,8328.0,30808.5,15526.0,28327.0,14467.0,Not Fill
Support,Solved,Low,Mail,2023-05-15 12:13:00,2023-06-02 16:34:00,2023-05-15 13:07:00,2023-05-15 13:07:00,2023-06-02 16:34:00.000000000,436.0,4,7,2.0,73.0,73.0,73.0,26181.0,13221.0,226.0,226.0,Claims
Support,Solved,Low,Mail,2023-05-22 12:49:00,2023-06-14 12:04:00,2023-05-22 13:15:00,2023-05-22 13:15:00,2023-06-13 19:42:00.000000000,514.5,1,7,6.0,87.0,469.0,469.0,30808.5,15526.0,12433.0,6672.0,Claims
Support,Solved,Low,Mail,2023-05-24 13:27:00,2023-05-31 16:37:00,2023-05-24 14:08:00,2023-05-24 14:08:00,2023-05-31 16:37:00.000000000,171.0,Offered,7,6.0,67.0,2775.0,1335.0,10270.0,5230.0,4359.0,2199.0,Is my treatment covered (IMTC)
Reimbursement Claims,Hold,Low,Mail,2023-04-01 19:41:00,2023-04-24 14:55:00,2023-04-03 15:12:00,2023-04-02 15:01:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,6,6.0,1289.0,2729.0,1289.0,12323.522002085505,6201.2645116440735,20162.0,10110.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-05 10:18:00,2023-06-07 07:36:00,2023-04-05 12:54:00,2023-04-05 12:54:00,2023-05-10 12:45:00.000000000,514.5,Offered,6,6.0,1148.0,1868.0,1148.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-05 11:47:00,2023-05-17 06:11:00,2023-04-05 13:11:00,2023-04-05 13:11:00,2023-04-18 15:42:00.000000000,316.0,Offered,6,6.0,426.0,426.0,426.0,18955.0,9595.0,13043.0,6837.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-06 16:06:00,2023-06-02 06:09:00,2023-04-06 16:27:00,2023-04-06 16:27:00,2023-05-04 13:12:00.000000000,514.5,Offered,6,1.0,43.0,43.0,43.0,30808.5,15526.0,1901.0,1181.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-10 18:29:00,2023-06-05 05:59:00,2023-04-10 18:49:00,2023-04-10 18:49:00,2023-05-07 09:37:00.000000000,514.5,Offered,6,6.0,34.0,291.0,150.0,30808.5,15526.0,16164.0,8798.0,Not Fill
Endorsements,Closed,Low,Mail,2023-04-11 17:46:00,2023-06-15 17:37:00,2023-04-11 21:32:00,2023-04-11 21:32:00,2023-05-26 16:37:00.000000000,514.5,Offered,6,6.0,305.0,1025.0,305.0,30808.5,15526.0,13216.0,6735.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-16 20:36:00,2023-06-07 06:10:00,2023-04-17 14:52:00,2023-04-17 14:52:00,2023-05-09 12:08:00.000000000,514.5,Offered,6,6.0,838.0,2278.0,838.0,30808.5,15526.0,20435.0,10170.0,Not Fill
Support,Closed,Low,Mail,2023-04-21 10:20:00,2023-04-28 09:59:00,2023-04-28 09:59:00,2023-04-21 10:46:00,2023-04-28 09:59:00.000000000,168.0,4,6,3.0,63.0,468.0,468.0,10059.0,5019.0,2848.0,1408.0,Claims
Onboardings,Closed,Low,Mail,2023-04-21 15:43:00,2023-06-07 06:45:00,2023-04-24 10:36:00,2023-04-24 10:36:00,2023-05-17 15:42:00.000000000,514.5,Offered,6,6.0,1981.0,4141.0,1981.0,30808.5,15526.0,4828.0,2309.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-24 20:16:00,2023-06-08 16:35:00,2023-04-26 17:13:00,2023-04-25 10:00:00,2023-05-19 16:19:00.000000000,514.5,Offered,6,0.0,1852.1139498432601,22375.0,10855.0,30808.5,15526.0,26946.0,13266.0,Not Fill
Support,Solved,Low,Mail,2023-05-04 20:10:00,2023-05-30 09:43:00,2023-05-05 10:34:00,2023-05-05 10:34:00,2023-05-30 09:43:00.000000000,514.5,4,6,6.0,157.0,5105.0,2225.0,30808.5,15526.0,13206.0,6162.0,Is my treatment covered (IMTC)
Reimbursement Claims,Closed,Low,Mail,2023-05-08 15:24:00,2023-06-11 17:37:00,2023-05-12 13:16:00,2023-05-08 15:38:00,2023-05-22 17:03:00.000000000,338.0,Offered,6,6.0,1598.0,5632.0,2752.0,20259.0,10179.0,15538.0,7844.0,Not Fill
Support,Solved,Low,Mail,2023-05-08 16:36:00,2023-06-13 12:42:00,2023-05-08 17:26:00,2023-05-08 17:26:00,2023-06-13 12:42:00.000000000,514.5,4,6,6.0,72.0,2671.0,1231.0,30808.5,15526.0,6843.0,3243.0,Claims
Support,Solved,Low,Internal Communication,2023-05-26 22:57:00,2023-06-12 18:11:00,2023-05-27 11:46:00,2023-05-27 11:46:00,2023-06-12 18:11:00.000000000,403.0,Offered,6,1.0,181.0,783.0,181.0,24193.0,12071.0,1189.0,587.0,Not Fill
Support,Solved,Low,Mail,2023-05-28 18:10:00,2023-06-11 17:12:00,2023-06-08 14:29:00,2023-05-28 18:27:00,2023-06-11 17:12:00.000000000,335.0,4,6,6.0,17.0,61.0,61.0,20102.0,10022.0,12167.0,5821.0,Claims
Support,Solved,Low,Mail,2023-05-29 20:55:00,2023-06-14 09:20:00,2023-05-30 09:35:00,2023-05-30 09:35:00,2023-06-14 09:20:00.000000000,372.0,1,6,6.0,99.0,819.0,99.0,22345.0,10825.0,3782.0,936.0,Health ID
Reimbursement Claims,Closed,Low,OutBound,2023-04-06 12:21:00,2023-05-04 15:01:00,2023-04-06 12:21:00,2023-04-06 12:21:00,2023-05-04 15:01:00.000000000,514.5,Offered,5,4.0,26.0,7602.0,4002.0,30808.5,15526.0,12935.0,6546.0,Not Fill
Support,Closed,Low,Mail,2023-04-09 17:56:00,2023-05-10 06:10:00,2023-04-10 10:13:00,2023-04-10 10:13:00,2023-04-11 09:18:00.000000000,39.0,2,5,3.0,290.0,1253.0,533.0,2362.0,922.0,1544.0,638.0,Others
Reimbursement Claims,Closed,Low,Mail,2023-04-10 14:54:00,2023-06-07 07:36:00,2023-04-10 16:56:00,2023-04-10 16:56:00,2023-05-11 10:57:00.000000000,514.5,Offered,5,5.0,237.0,237.0,237.0,30808.5,15526.0,24980.0,12740.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-10 15:43:00,2023-05-10 06:10:00,2023-04-10 16:31:00,2023-04-10 16:31:00,2023-04-11 11:19:00.000000000,20.0,Offered,5,3.0,51.0,51.0,51.0,1175.0,455.0,921.0,201.0,Not Fill
Support,Closed,Low,Mail,2023-04-11 15:51:00,2023-06-07 07:36:00,2023-04-11 17:10:00,2023-04-11 17:10:00,2023-05-13 12:33:00.000000000,514.5,4,5,6.0,125.0,2727.0,1287.0,30808.5,15526.0,13456.0,6948.0,Claims
Support,Open,Low,Mail,2023-04-13 13:00:00,2023-06-18 00:54:00,2023-05-22 17:52:00,2023-04-13 15:05:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,157.0,8461.0,4141.0,12323.522002085505,6201.2645116440735,28951.5,14738.5,Others
Support,Open,Low,OutBound,2023-04-13 15:05:00,2023-04-20 17:17:00,2023-04-13 15:05:00,2023-04-13 15:05:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,552.0,1803.0,1074.0,12323.522002085505,6201.2645116440735,3744.0,2065.0,Claims
Reimbursement Claims,Closed,Low,OutBound,2023-04-14 13:26:00,2023-06-07 07:35:00,2023-04-14 13:26:00,2023-04-14 13:26:00,2023-05-11 15:21:00.000000000,514.5,Offered,5,6.0,2614.0,0.0,0.0,30808.5,15526.0,27701.0,13982.0,Not Fill
Reimbursement Claims,Solved,Low,OutBound,2023-04-14 18:10:00,2023-06-09 20:16:00,2023-04-14 18:10:00,2023-04-14 18:10:00,2023-06-09 20:16:00.000000000,514.5,Offered,5,6.0,2330.0,4570.0,2330.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Solved,Low,Mail,2023-04-15 14:49:00,2023-06-07 21:13:00,2023-04-15 15:50:00,2023-04-15 15:50:00,2023-06-07 21:13:00.000000000,514.5,Offered,5,6.0,103.0,7570.0,3970.0,30808.5,15526.0,24805.0,13927.0,Health ID
Endorsements,Solved,Low,Mail,2023-04-18 19:04:00,2023-05-30 12:02:00,2023-04-27 12:41:00,2023-04-19 12:29:00,2023-05-30 12:02:00.000000000,514.5,Offered,5,6.0,698.0,1418.0,698.0,30808.5,15526.0,9203.0,4163.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-04-20 12:38:00,2023-06-12 14:37:00,2023-04-20 12:49:00,2023-04-20 12:49:00,2023-06-12 14:37:00.000000000,514.5,Offered,5,6.0,348.0,348.0,348.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Onboardings,Closed,Low,Closed Ticket,2023-04-20 12:51:00,2023-06-07 06:45:00,2023-04-25 17:42:00,2023-04-20 20:11:00,2023-05-12 11:54:00.000000000,514.5,Offered,5,1.0,829.0,1549.0,829.0,30808.5,15526.0,4729.0,2569.0,Not Fill
Support,Closed,Low,Mail,2023-04-22 17:57:00,2023-05-31 06:09:00,2023-04-23 12:31:00,2023-04-23 12:31:00,2023-05-02 17:59:00.000000000,240.0,4,5,3.0,402.0,1122.0,402.0,14403.0,7203.0,4576.0,2424.0,Claims
Support,Hold,Low,Mail,2023-04-24 09:52:00,2023-06-18 12:04:00,2023-04-24 10:20:00,2023-04-24 10:20:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,101.0,5853.0,2973.0,12323.522002085505,6201.2645116440735,25681.0,12721.0,Is my treatment covered (IMTC)
Reimbursement Claims,Open,Low,Mail,2023-04-27 11:45:00,2023-06-19 06:46:00,2023-05-29 14:10:00,2023-04-27 12:26:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,299.0,299.0,299.0,12323.522002085505,6201.2645116440735,28951.5,14738.5,Not Fill
Onboardings,Pending,Low,Mail,2023-04-28 12:07:00,2023-06-02 14:03:00,2023-05-02 12:20:00,2023-05-02 12:20:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,2893.0,24874.0,12791.5,12323.522002085505,6201.2645116440735,10307.0,5267.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-04-28 18:45:00,2023-06-03 18:39:00,2023-05-01 18:14:00,2023-05-01 18:14:00,2023-06-02 20:40:00.000000000,514.5,Offered,5,6.0,3147.0,6747.0,3147.0,30808.5,15526.0,19348.0,9988.0,Not Fill
Endorsements,Solved,Low,Mail,2023-04-29 07:00:00,2023-06-06 17:28:00,2023-05-12 12:40:00,2023-05-12 12:40:00,2023-06-06 17:28:00.000000000,514.5,Offered,5,6.0,4363.28487460815,24874.0,12791.5,30808.5,15526.0,25467.0,13108.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-29 11:52:00,2023-06-16 12:36:00,2023-04-29 13:11:00,2023-04-29 13:11:00,2023-05-27 12:10:00.000000000,514.5,Offered,5,5.0,114.0,114.0,114.0,30808.5,15526.0,1463.0,743.0,Claims
Support,Closed,Low,Mail,2023-05-02 15:26:00,2023-06-14 10:33:00,2023-05-02 16:00:00,2023-05-02 16:00:00,2023-05-25 09:30:00.000000000,514.5,Offered,5,6.0,67.0,67.0,67.0,30808.5,15526.0,14529.0,6610.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-05-03 03:39:00,2023-06-15 10:53:00,2023-05-03 13:39:00,2023-05-03 13:39:00,2023-06-15 10:53:00.000000000,514.5,Offered,5,6.0,340.0,661.0,340.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Closed,Low,Mail,2023-05-04 12:04:00,2023-06-08 09:33:00,2023-05-04 13:00:00,2023-05-04 13:00:00,2023-05-19 09:25:00.000000000,357.0,Offered,5,5.0,69.0,69.0,69.0,21441.0,10641.0,1077.0,357.0,Claims
Support,Closed,Low,Internal Communication,2023-05-04 12:24:00,2023-06-04 06:02:00,2023-05-04 12:53:00,2023-05-04 12:53:00,2023-05-06 12:38:00.000000000,48.0,Offered,5,6.0,48.0,48.0,48.0,2894.0,1454.0,135.0,135.0,Health ID
Reimbursement Claims,Open,Low,Mail,2023-05-08 18:22:00,2023-06-17 12:17:00,2023-05-29 14:09:00,2023-05-08 18:34:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,32.0,5530.0,2650.0,12323.522002085505,6201.2645116440735,28951.5,14506.0,Not Fill
Reimbursement Claims,Hold,Low,Mail,2023-05-09 09:55:00,2023-06-12 18:51:00,2023-05-16 10:14:00,2023-05-09 13:00:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,1146.0,24874.0,12791.5,12323.522002085505,6201.2645116440735,28951.5,14738.5,Not Fill
Reimbursement Claims,Open,Low,Mail,2023-05-09 10:48:00,2023-06-16 18:58:00,2023-05-09 13:12:00,2023-05-09 10:51:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,66.0,3215.0,1775.0,12323.522002085505,6201.2645116440735,28951.5,14738.5,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-05-11 21:34:00,2023-06-07 18:24:00,2023-05-12 10:44:00,2023-05-12 10:44:00,2023-06-07 18:24:00.000000000,514.5,Offered,5,6.0,353.0,19679.0,9633.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Solved,Low,Mail,2023-05-16 16:58:00,2023-05-31 06:09:00,2023-05-16 17:04:00,2023-05-16 17:04:00,2023-05-31 06:09:00.000000000,349.0,3,5,6.0,19.0,1717.0,962.0,20951.0,10322.0,8696.0,4512.0,Is my treatment covered (IMTC)
Endorsements,Open,Low,Mail,2023-05-19 17:50:00,2023-06-17 12:28:00,2023-05-22 12:56:00,2023-05-22 12:56:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,4363.28487460815,18728.0,9368.0,12323.522002085505,6201.2645116440735,15300.0,7380.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-05-21 10:43:00,2023-06-15 23:31:00,2023-05-22 10:07:00,2023-05-22 10:07:00,2023-06-15 23:31:00.000000000,514.5,Offered,5,5.0,1336.0,2198.0,1336.0,30808.5,15526.0,12439.0,6922.0,Not Fill
Support,Solved,Low,Mail,2023-05-23 10:30:00,2023-06-18 10:49:00,2023-05-23 10:41:00,2023-05-23 10:41:00,2023-06-18 10:49:00.000000000,514.5,Offered,5,5.0,102.0,313.0,313.0,30808.5,15526.0,10121.0,5081.0,Claims
Reimbursement Claims,Hold,Low,Mail,2023-05-24 16:53:00,2023-06-13 22:19:00,2023-05-25 10:10:00,2023-05-25 10:10:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,5,6.0,671.0,7283.0,3683.0,12323.522002085505,6201.2645116440735,24705.0,12386.0,Not Fill
Support,Solved,Low,Mail,2023-05-29 12:04:00,2023-06-06 17:40:00,2023-05-29 12:34:00,2023-05-29 12:34:00,2023-06-06 17:40:00.000000000,198.0,2,5,6.0,37.0,10117.0,5077.0,11857.0,6097.0,10500.0,5412.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-02 21:26:00,2023-06-08 00:33:00,2023-04-03 15:12:00,2023-04-03 15:12:00,2023-05-18 23:56:00.000000000,514.5,Offered,4,6.0,720.0,24874.0,12791.5,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Closed,Low,Mail,2023-04-03 12:40:00,2023-05-27 06:08:00,2023-04-03 12:43:00,2023-04-03 12:43:00,2023-04-28 21:07:00.000000000,514.5,Offered,4,3.0,18.0,18.0,18.0,30808.5,15526.0,1594.0,866.0,Claims
Reimbursement Claims,Closed,Low,Mail,2023-04-03 15:16:00,2023-06-07 07:36:00,2023-05-12 18:15:00,2023-04-03 15:23:00,2023-05-13 12:51:00.000000000,514.5,Offered,4,6.0,25.0,284.0,284.0,30808.5,15526.0,14914.0,7714.0,Not Fill
Support,Closed,Low,Mail,2023-04-04 15:47:00,2023-05-06 06:04:00,2023-04-04 16:05:00,2023-04-04 16:05:00,2023-04-07 15:17:00.000000000,72.0,2,4,5.0,28.0,1099.0,379.0,4290.0,2130.0,2261.0,821.0,Claims
Support,Closed,Low,Closed Ticket,2023-04-04 16:05:00,2023-06-02 06:09:00,2023-04-04 17:28:00,2023-04-04 17:28:00,2023-05-04 13:49:00.000000000,514.5,Offered,4,6.0,92.0,318.0,294.0,30808.5,15526.0,3419.0,1761.0,Claims
Support,Closed,Low,Mail,2023-04-05 13:22:00,2023-06-06 06:12:00,2023-04-05 14:35:00,2023-04-05 14:35:00,2023-05-08 12:54:00.000000000,514.5,4,4,4.0,1358.0,7459.0,3859.0,30808.5,15526.0,11453.0,5689.0,Claims
Support,Hold,Low,Closed Ticket,2023-04-05 15:08:00,2023-04-17 19:09:00,2023-04-05 17:45:00,2023-04-05 17:45:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,4,6.0,251.0,251.0,251.0,12323.522002085505,6201.2645116440735,13678.0,7198.0,Claims
Support,Closed,Low,Mail,2023-04-05 15:23:00,2023-05-10 06:11:00,2023-04-06 10:22:00,2023-04-05 16:39:00,2023-04-11 12:22:00.000000000,141.0,4,4,3.0,429.0,1149.0,429.0,8458.0,4138.0,1311.0,591.0,Is my treatment covered (IMTC)
Reimbursement Claims,Solved,Low,Mail,2023-04-06 15:39:00,2023-06-09 10:42:00,2023-04-06 15:47:00,2023-04-06 15:47:00,2023-06-09 10:42:00.000000000,514.5,Offered,4,6.0,198.0,198.0,198.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-06 16:51:00,2023-06-18 16:35:00,2023-04-06 18:24:00,2023-04-06 18:24:00,2023-05-29 15:56:00.000000000,514.5,Offered,4,6.0,106.0,106.0,106.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Closed,Low,Internal Communication,2023-04-06 20:26:00,2023-05-25 06:10:00,2023-04-07 13:13:00,2023-04-07 13:13:00,2023-04-26 14:58:00.000000000,475.0,Offered,4,3.0,515.0,1235.0,515.0,28472.0,14072.0,10083.0,5043.0,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-08 08:22:00,2023-06-07 07:36:00,2023-04-09 22:26:00,2023-04-09 22:26:00,2023-05-12 10:36:00.000000000,514.5,Offered,4,6.0,2160.0,3767.0,2160.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-10 21:06:00,2023-06-15 19:40:00,2023-04-11 09:54:00,2023-04-11 09:54:00,2023-05-26 19:25:00.000000000,514.5,Offered,4,3.0,1180.0,10851.0,5097.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Reimbursement Claims,Hold,Low,Mail,2023-04-11 16:56:00,2023-04-20 16:31:00,2023-04-12 10:20:00,2023-04-12 10:20:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,4,5.0,702.0,1422.0,702.0,12323.522002085505,6201.2645116440735,7140.0,3540.0,Not Fill
Reimbursement Claims,Hold,Low,Mail,2023-04-11 18:25:00,2023-06-16 09:20:00,2023-04-12 10:56:00,2023-04-12 10:56:00,2023-05-09 06:14:20.262773760,205.40257212374001,Offered,4,6.0,590.0,1310.0,590.0,12323.522002085505,6201.2645116440735,28951.5,14738.5,Not Fill
Reimbursement Claims,Closed,Low,Mail,2023-04-11 19:47:00,2023-06-09 21:37:00,2023-04-12 11:08:00,2023-04-12 11:08:00,2023-05-20 20:31:00.000000000,514.5,Offered,4,6.0,793.0,1717.0,793.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Closed,Low,Mail,2023-04-12 07:44:00,2023-05-23 06:11:00,2023-04-12 08:48:00,2023-04-12 08:48:00,2023-04-24 08:36:00.000000000,289.0,4,4,4.0,87.0,1772.0,977.0,17332.0,8640.0,12274.0,5743.0,Claims
Support,Solved,Low,Mail,2023-04-12 09:58:00,2023-06-07 14:21:00,2023-06-07 14:21:00,2023-04-12 10:44:00,2023-05-30 14:13:00.000000000,514.5,Offered,4,6.0,57.0,3045.0,1605.0,30808.5,15526.0,28951.5,14738.5,Is my treatment covered (IMTC)
Reimbursement Claims,Closed,Low,Mail,2023-04-12 12:19:00,2023-06-07 07:35:00,2023-04-12 16:01:00,2023-04-12 16:01:00,2023-05-16 18:06:00.000000000,514.5,Offered,4,5.0,1472.0,2912.0,1472.0,30808.5,15526.0,22066.0,11265.0,Not Fill
Support,Closed,Low,Mail,2023-04-12 14:40:00,2023-05-31 06:09:00,2023-04-28 14:19:00,2023-04-12 15:45:00,2023-05-02 13:24:00.000000000,479.0,Offered,4,6.0,103.0,1392.0,672.0,28724.0,14324.0,10017.0,4977.0,Not Applicable
Reimbursement Claims,Closed,Low,Mail,2023-04-12 23:02:00,2023-06-14 01:34:00,2023-04-13 11:01:00,2023-04-13 11:01:00,2023-05-25 01:04:00.000000000,514.5,Offered,4,6.0,148.0,1052.0,454.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Solved,Low,Mail,2023-04-13 19:01:00,2023-06-02 19:15:00,2023-04-14 08:21:00,2023-04-14 08:21:00,2023-06-02 19:15:00.000000000,514.5,4,4,6.0,4363.28487460815,10105.0,5065.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Support,Closed,Low,Mail,2023-04-14 10:43:00,2023-05-16 06:09:00,2023-04-14 10:55:00,2023-04-14 10:55:00,2023-04-17 12:55:00.000000000,74.0,4,4,5.0,29.0,82.0,82.0,4452.0,2292.0,4282.0,2122.0,Not Fill
Support,Closed,Low,Internal Communication,2023-04-15 09:09:00,2023-05-23 06:10:00,2023-04-15 11:22:00,2023-04-15 11:22:00,2023-04-24 14:57:00.000000000,222.0,Offered,4,6.0,168.0,458.0,458.0,13307.0,6827.0,961.0,957.0,Not Fill
Reimbursement Claims,Solved,Low,Mail,2023-04-17 09:58:00,2023-06-15 10:52:00,2023-04-17 15:01:00,2023-04-17 15:01:00,2023-06-15 10:52:00.000000000,514.5,Offered,4,6.0,1049.0,1769.0,1049.0,30808.5,15526.0,28951.5,14738.5,Not Fill
Endorsements,Closed,Low,Mail,2023-04-18 15:54:00,2023-06-13 21:36:00,2023-04-19 12:01:00,2023-04-19 12:01:00,2023-05-24 20:57:00.000000000,514.5,Offered,4,6.0,26.0,9902.0,4862.0,30808.5,15526.0,19665.0,9715.0,Not Fill
